FlightNumber,Airline,Origin,OriginAirport,Destination,DestinationAirport,ScheduledDeparture,ScheduledArrival,Terminal,Gate,DepartureDelay,ArrivalDelay,FlightStatus
VS5907,Virgin Atlantic,CPH,Kastrup,LHR,Heathrow,2026-07-25T15:00:00+00:00,2026-07-25T16:00:00+00:00,3,E104,,3.0,active
SQ2627,Singapore Airlines,CPH,Kastrup,LHR,Heathrow,2026-07-25T15:00:00+00:00,2026-07-25T16:00:00+00:00,3,E104,,3.0,active
DL7625,Delta Air Lines,CPH,Kastrup,LHR,Heathrow,2026-07-25T15:00:00+00:00,2026-07-25T16:00:00+00:00,3,E104,,3.0,active
AM7831,Aeromexico,CPH,Kastrup,LHR,Heathrow,2026-07-25T15:00:00+00:00,2026-07-25T16:00:00+00:00,3,E104,,3.0,active
TP5581,TAP Air Portugal,CPH,Kastrup,ARN,Arlanda,2026-07-25T19:05:00+00:00,2026-07-25T20:20:00+00:00,3,1-38,,,scheduled
SK,SAS,CPH,Kastrup,ARN,Arlanda,2026-07-25T15:00:00+00:00,2026-07-25T16:08:00+00:00,,,,15.0,active
FR6880,Ryanair,CPH,Kastrup,MAN,Manchester Airport,2026-07-25T13:50:00+00:00,2026-07-25T14:50:00+00:00,3,F104,,13.0,active
TF757,BRA,CPH,Kastrup,GDN,Lech Walesa,2026-07-25T19:05:00+00:00,2026-07-25T20:25:00+00:00,3,1-38,,,scheduled
FI6398,Icelandair,CPH,Kastrup,FAE,Vagar,2026-07-25T18:35:00+00:00,2026-07-25T19:50:00+00:00,2,,,,scheduled
AF3883,Air France,CPH,Kastrup,FAE,Vagar,2026-07-25T18:35:00+00:00,2026-07-25T19:50:00+00:00,2,,,,scheduled
KL9541,KLM,CPH,Kastrup,FAE,Vagar,2026-07-25T18:35:00+00:00,2026-07-25T19:50:00+00:00,2,,,,scheduled
W43114,Wizz Air Malta,CPH,Kastrup,OTP,Henri Coanda International,2026-07-25T21:00:00+00:00,2026-07-26T00:35:00+00:00,2,,,,scheduled
SK1679,SAS,CPH,Kastrup,BER,Berlin Brandenburg Airport,2026-07-25T21:00:00+00:00,2026-07-25T22:00:00+00:00,3,,,10.0,scheduled
MU708,China Eastern Airlines,CPH,Kastrup,PVG,Shanghai Pudong International,2026-07-25T21:00:00+00:00,2026-07-26T13:15:00+00:00,2,,,,scheduled
PC1076,Pegasus,CPH,Kastrup,SAW,Sabiha Gokcen,2026-07-25T20:50:00+00:00,2026-07-26T01:00:00+00:00,2,,,,scheduled
FR2762,Ryanair,CPH,Kastrup,KRK,John Paul II Balice International,2026-07-25T20:35:00+00:00,2026-07-25T22:10:00+00:00,2,,,,scheduled
D85373,Norwegian Air Sweden,CPH,Kastrup,ALC,Alicante El Altet,2026-07-25T20:35:00+00:00,2026-07-25T23:55:00+00:00,2,,,,scheduled
BT140,airBaltic,CPH,Kastrup,RIX,Riga International,2026-07-25T20:30:00+00:00,2026-07-25T22:55:00+00:00,2,102-,,10.0,scheduled
FR648,Ryanair,CPH,Kastrup,AGP,Pablo Ruiz Picasso,2026-07-25T20:25:00+00:00,2026-07-26T00:15:00+00:00,2,,,,scheduled
GQ6401,SKY express,CPH,Kastrup,RHO,Diagoras,2026-07-25T20:15:00+00:00,2026-07-26T00:50:00+00:00,,,,10.0,scheduled
FR2619,Ryanair,CPH,Kastrup,STN,Stansted,2026-07-25T20:15:00+00:00,2026-07-25T21:10:00+00:00,2,,,,scheduled
D85075,Norwegian Air Sweden,CPH,Kastrup,AGP,Pablo Ruiz Picasso,2026-07-25T20:15:00+00:00,2026-07-25T23:55:00+00:00,2,,,,scheduled
SM8760,Air Cairo,CPH,Kastrup,CAI,Cairo International Airport,2026-07-25T15:45:00+00:00,2026-07-25T21:15:00+00:00,2,C32,,,scheduled
ET1462,Ethiopian Airlines,CPH,Kastrup,CAI,Cairo International Airport,2026-07-25T15:45:00+00:00,2026-07-25T21:15:00+00:00,2,C32,,,scheduled
SK7709,SAS,CPH,Kastrup,CHQ,Souda,2026-07-25T17:25:00+00:00,2026-07-25T21:33:00+00:00,,,,,scheduled
SK7775,SAS,CPH,Kastrup,CFU,Ioannis Kapodistrias,2026-07-25T17:30:00+00:00,2026-07-25T21:05:00+00:00,,,,,scheduled
DY3292,Norwegian,CPH,Kastrup,TIA,Rinas Mother Teresa,2026-07-25T18:20:00+00:00,2026-07-25T20:55:00+00:00,2,146-,,12.0,scheduled
TK8547,Turkish Airlines,CPH,Kastrup,KEF,Keflavik International,2026-07-25T16:55:00+00:00,2026-07-25T18:10:00+00:00,2,A15,,,scheduled
EK3311,Emirates,CPH,Kastrup,KEF,Keflavik International,2026-07-25T16:55:00+00:00,2026-07-25T18:10:00+00:00,2,A15,,,scheduled
WX2785,CityJet,CPH,Kastrup,ZAD,Zadar,2026-07-25T17:30:00+00:00,2026-07-25T19:35:00+00:00,3,1-38,,,scheduled
FH471,Freebird Airlines,CPH,Kastrup,BJV,Milas,2026-07-25T17:05:00+00:00,2026-07-25T21:13:00+00:00,,,,,scheduled
WY5321,Oman Air,CPH,Kastrup,FRA,Frankfurt International Airport,2026-07-25T14:50:00+00:00,2026-07-25T16:20:00+00:00,2,A9,,16.0,active
